iteration,output_arima,output_ets,output_tbats,output_bag,output_net
1,0.06394350272612259,0.05849589501910412,0.06477817961529002,0.056917534449231325,0.10173806029247211
2,0.0659915434912636,0.06354305668794147,0.08289638554395017,0.06048587097675806,0.1101740066603999
3,0.06772382983985623,0.06877521277734619,0.10335983015296832,0.06419437955796257,0.1069460967046628
4,0.06891591486768367,0.0732405226082531,0.12248523812049883,0.06775941976181682,0.10883846089681475
5,0.06978257181805837,0.07704981855823778,0.1414506278068426,0.07019436486765722,0.11923414174976772
6,0.07006636039681466,0.07966472215618357,0.15885206512987515,0.07219013107557798,0.11415765905048696
7,0.0697726629550054,0.08084313099859912,0.17361547897023388,0.07293678354765327,0.11531810542208006
8,0.06957174959024769,0.08146691369035415,0.18546481197223705,0.07459660019406845,0.11216833664377551
9,0.06939505882683224,0.08130469540403247,0.19484043355426517,0.07469363987880188,0.118615371227434
10,0.06919084914972273,0.0804873477376462,0.2021078513690756,0.07502446461016465,0.1178268809521773
11,0.06892239139691661,0.07928517090269711,0.20803953205822043,0.07442802998383011,0.11605349973287438
12,0.06885236385925816,0.0782141840730516,0.21366731889779758,0.07443015741273855,0.1269411664070109
